Weapon Name,Translated,Enemy Rank,Teammate Rank
bottlegeyser,Squeezer,0.502842191,0.510147133
bold,Sploosh-o-matic,0.501686599,0.585654165
hissen,Tri-Slosher,0.478653037,0.486561631
sharp_neo,Neo Splash-o-matic,0.500476788,0.493137928
furo,Bloblobber,0.493830837,0.502929885
splatroller,Splat Roller,0.487060332,0.530106117
maneuver_collabo,Enperry Splat Dualies,0.458238421,0.547236292
quadhopper_black,Dark Tetra Dualies,0.495829409,0.532487866
order_blaster_replica,Order Blaster Replica,0.5,0.475
hissen_hue,Tri-Slosher Nouveau,0.492112125,0.496884951
dualsweeper,Dualie Squelchers,0.487096401,0.488997919
longblaster,Range Blaster,0.508868944,0.536253171
sharp,Splash-o-matic,0.506262942,0.483398237
drivewiper,Splatana Wiper,0.507246377,0.536862893
fincent_hue,Painbrush Nouveau,0.456924434,0.516084559
bold_neo,Neo Sploosh-o-matic,0.49377335,0.539861751
clashblaster,Clash Blaster,0.461007508,0.492858933
brella24mk2,Recycled Brella 24 Mk II,0.464757709,0.376744186
sshooter_collabo,Tentatek Splattershot,0.49152791,0.52531716
prime_collabo,Forge Splattershot Pro,0.486907524,0.525561798
order_roller_replica,Order Roller Replica,0.514127022,0.502788104
52gal,.52 Gal,0.49268976,0.539471893
barrelspinner_deco,Heavy Splatling Deco,0.489989463,0.528289892
bucketslosher,Slosher,0.524329195,0.519044153
sblast91,S-BLAST '91,0.472176759,0.445800781
soytuber,Goo Tuber,0.410958904,0.410414828
hydra,Hydra Splatling,0.506808369,0.517648381
campingshelter_sorella,Tenta Sorella Brella,0.509421531,0.482142857
heroshooter_replica,Hero Shot Replica,0.502354326,0.481577432
sshooter,Splattershot,0.50410932,0.522031503
variableroller,Flingza Roller,0.489686334,0.520219328
splatcharger_collabo,Z+F Splat Charger,0.423000497,0.413446268
jimuwiper_hue,Splatana Stamper Nouveau,0.484958979,0.482286096
sputtery_hue,Dapple Dualies Nouveau,0.500031147,0.559504245
nova_neo,Luna Blaster Neo,0.497645508,0.544105351
order_wiper_replica,Order Splatana Replica,0.458418891,0.502183406
liter4k_custom,Custom E-liter 4K,0.456456456,0.450129199
rapid_deco,Rapid Blaster Deco,0.493761141,0.468221071
wakaba,Splattershot Jr.,0.505610599,0.497150334
nautilus47,Nautilus 47,0.505150463,0.462525112
variableroller_foil,Foil Flingza Roller,0.493292449,0.513846154
nzap89,N-ZAP '89,0.484130307,0.533243018
screwslosher_neo,Sloshing Machine Neo,0.489849188,0.463706836
h3reelgun,H-3 Nozzlenose,0.426428159,0.425269646
jimuwiper,Splatana Stamper,0.466368169,0.492063492
furo_deco,Bloblobber Deco,0.47030616,0.469497115
pablo,Inkbrush,0.488963654,0.499705293
momiji,Custom Splattershot Jr.,0.499406264,0.517186967
nzap85,N-ZAP '85,0.47453662,0.498585111
carbon_deco,Carbon Roller Deco,0.465502125,0.48857868
kelvin525,Glooga Dualies,0.506063258,0.543013699
splatscope,Splatterscope,0.475554435,0.50990753
dynamo_tesla,Gold Dynamo Roller,0.493329148,0.549797336
moprin,Dread Wringer,0.524222336,0.509868421
examiner,Heavy Edit Splatling,0.483944479,0.456902246
promodeler_rg,Aerospray RG,0.505802796,0.5803485
promodeler_mg,Aerospray MG,0.495316556,0.536464088
dentalwiper_mint,Mint Decavitator,0.470777727,0.546854942
furuido,Wellstring V,0.484732824,0.490640394
order_shooter_replica,Order Shot Replica,0.505419281,0.425249169
order_brush_replica,Orderbrush Replica,0.48630137,0.499111901
pablo_hue,Inkbrush Nouveau,0.486454653,0.521382751
drivewiper_deco,Splatana Wiper Deco,0.483080513,0.511793612
quadhopper_white,Light Tetra Dualies,0.471961431,0.530339806
kugelschreiber,Ballpoint Splatling,0.504231947,0.429680224
l3reelgun,L-3 Nozzlenose,0.525614035,0.48974359
96gal_deco,.96 Gal Deco,0.519610986,0.482775274
hokusai_hue,Octobrush Nouveau,0.491548043,0.459619952
nautilus79,Nautilus 79,0.479691308,0.49334664
hokusai,Octobrush,0.49370352,0.483188171
h3reelgun_d,H-3 Nozzlenose D,0.469117647,0.379944802
prime,Splattershot Pro,0.457964008,0.489721485
52gal_deco,.52 Gal Deco,0.505090055,0.515625
sputtery,Dapple Dualies,0.48510522,0.50893887
explosher_custom,Custom Explosher,0.506731287,0.542609854
bucketslosher_deco,Slosher Deco,0.457253172,0.493074792
liter4k_scope,E-liter 4K Scope,0.509396141,0.530730897
nova,Luna Blaster,0.481267218,0.368394816
tristringer_collabo,Inkline Tri-Stringer,0.490594059,0.477936963
bamboo14mk1,Bamboozler 14 Mk I,0.481074481,0.442192691
splatcharger,Splat Charger,0.431150442,0.448817106
l3reelgun_d,L-3 Nozzlenose D,0.491975928,0.5
maneuver,Splat Dualies,0.497535934,0.506483516
order_slosher_replica,Order Slosher Replica,0.533568905,0.482366325
spaceshooter_collabo,Annaki Splattershot Nova,0.516616915,0.531924262
campingshelter,Tenta Brella,0.480746791,0.435410334
hotblaster_custom,Custom Blaster,0.463643471,0.541115122
screwslosher,Sloshing Machine,0.524959525,0.500486776
liter4k,E-liter 4K,0.464836393,0.456977483
squiclean_a,Classic Squiffer,0.436973123,0.494007083
hotblaster,Blaster,0.503355705,0.553232675
